#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
edge_261_2850        -            125 Ribosom_S12_S23      PF00164.20   122   2.5e-56  186.3   2.1   1   1   7.8e-60   2.8e-56  186.2   2.1     2   122     3   123     2   123 0.99 # 3051930 # 3052304 # -1 # ID=1_2850;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.477
edge_261_2840        -           1343 RNA_pol_Rpb2_3       PF04565.11    68   1.9e-30  102.3   0.0   1   1   1.2e-33   4.3e-30  101.2   0.0     1    68   513   582   513   582 0.98 # 3039777 # 3043805 # -1 # ID=1_2840;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.509
edge_261_2839        -           1409 RNA_pol_Rpb1_1       PF04997.7    337  2.9e-101  337.0   0.0   1   1  1.8e-104  6.3e-101  335.9   0.0     2   337    15   342    14   342 0.95 # 3035442 # 3039668 # -1 # ID=1_2839;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.530
edge_261_2839        -           1409 RNA_pol_Rpb1_4       PF05000.12   108   2.3e-19   67.1   0.2   1   1   1.9e-22   6.7e-19   65.6   0.2     2   107   674   763   673   764 0.80 # 3035442 # 3039668 # -1 # ID=1_2839;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.530
edge_261_3356        -            911 IF-2                 PF11987.3    109   2.7e-42  141.0   1.6   1   1   3.1e-45   1.1e-41  139.0   1.6     2   109   694   801   693   801 0.99 # 3606346 # 3609078 # 1 # ID=1_3356;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.530
edge_261_2240        -            876 TIGR00344            TIGR00344    847         0 1132.5   0.0   1   1         0         0 1132.3   0.0     1   847     7   854     7   854 0.99 # 2327998 # 2330625 # -1 # ID=1_2240;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.532
edge_261_3458        -            211 TIGR00344            TIGR00344    847   1.5e-13   47.5   0.1   1   2   4.4e-12   3.9e-09   32.9   0.0   479   565    26   104     8   109 0.77 # 3716616 # 3717248 # -1 # ID=1_3458;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.566
edge_261_3458        -            211 TIGR00344            TIGR00344    847   1.5e-13   47.5   0.1   2   2   5.6e-06     0.005   12.7   0.0   649   685   167   202   153   207 0.78 # 3716616 # 3717248 # -1 # ID=1_3458;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.566
edge_261_1082        -            644 TIGR00344            TIGR00344    847     0.011   11.6   0.0   1   1   1.9e-05     0.016   11.0   0.0   556   675    72   198    47   206 0.75 # 1116946 # 1118877 # 1 # ID=1_1082;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.499
edge_261_3288        -            458 TIGR00344            TIGR00344    847     0.041    9.7   2.8   1   1     6e-05     0.053    9.3   2.8   694   808   118   230    96   260 0.57 # 3528926 # 3530299 # -1 # ID=1_3288;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.583
edge_261_3387        -            966 TIGR00422            TIGR00422    863         0 1283.7   0.5   1   1         0         0 1283.5   0.5     2   862    16   945    15   946 0.99 # 3636942 # 3639839 # -1 # ID=1_3387;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.537
edge_261_2679        -            938 TIGR00422            TIGR00422    863    5e-116  386.3   0.0   1   2   2.4e-42   1.7e-39  133.1   0.0     8   233    22   258    16   269 0.92 # 2843947 # 2846760 # -1 # ID=1_2679;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.546
edge_261_2679        -            938 TIGR00422            TIGR00422    863    5e-116  386.3   0.0   2   2   5.1e-78   3.6e-75  251.1   0.0   245   711   306   791   299   850 0.90 # 2843947 # 2846760 # -1 # ID=1_2679;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.546
edge_261_2181        -            861 TIGR00422            TIGR00422    863   1.4e-83  279.0  16.7   1   6   5.5e-42   3.9e-39  131.9   1.3     1   187     1   171     1   173 0.93 # 2256773 # 2259355 # 1 # ID=1_2181;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.537
edge_261_2181        -            861 TIGR00422            TIGR00422    863   1.4e-83  279.0  16.7   2   6   1.1e-07     8e-05   18.4   0.7   342   396   174   225   169   230 0.92 # 2256773 # 2259355 # 1 # ID=1_2181;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.537
edge_261_2181        -            861 TIGR00422            TIGR00422    863   1.4e-83  279.0  16.7   3   6   0.00063      0.44    6.0   0.1   199   230   232   261   226   267 0.86 # 2256773 # 2259355 # 1 # ID=1_2181;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.537
edge_261_2181        -            861 TIGR00422            TIGR00422    863   1.4e-83  279.0  16.7   4   6   1.5e-13   1.1e-10   37.8   0.0   242   330   306   408   300   416 0.86 # 2256773 # 2259355 # 1 # ID=1_2181;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.537
edge_261_2181        -            861 TIGR00422            TIGR00422    863   1.4e-83  279.0  16.7   5   6   7.5e-07   0.00053   15.7   0.0   397   458   416   497   410   572 0.71 # 2256773 # 2259355 # 1 # ID=1_2181;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.537
edge_261_2181        -            861 TIGR00422            TIGR00422    863   1.4e-83  279.0  16.7   6   6   3.4e-24   2.4e-21   73.0   0.0   525   738   618   811   612   848 0.75 # 2256773 # 2259355 # 1 # ID=1_2181;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.537
edge_261_2062        -            678 TIGR00422            TIGR00422    863   1.5e-20   70.4   4.8   1   3   2.7e-12   1.9e-09   33.7   0.0    39    92    12    65     2    93 0.87 # 2133273 # 2135306 # 1 # ID=1_2062;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.528
edge_261_2062        -            678 TIGR00422            TIGR00422    863   1.5e-20   70.4   4.8   2   3     0.012       8.8    1.7   0.2   383   414   211   244   187   325 0.66 # 2133273 # 2135306 # 1 # ID=1_2062;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.528
edge_261_2062        -            678 TIGR00422            TIGR00422    863   1.5e-20   70.4   4.8   3   3   4.8e-13   3.4e-10   36.2   0.1   512   701   319   508   292   563 0.75 # 2133273 # 2135306 # 1 # ID=1_2062;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.528
edge_261_349         -            463 TIGR00422            TIGR00422    863   2.1e-09   33.5   0.3   1   2   7.1e-06     0.005   12.5   0.2    48    77    36    65    26    76 0.92 # 397270 # 398658 # 1 # ID=1_349;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.532
edge_261_349         -            463 TIGR00422            TIGR00422    863   2.1e-09   33.5   0.3   2   2   7.1e-08     5e-05   19.1   0.0   507   585   247   324   217   346 0.87 # 397270 # 398658 # 1 # ID=1_349;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.532
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /tmp/bc649572-52c8-4cf9-be95-0dcff56874a7
# Target file:     output/bins/bin_79/genes.faa
# Option settings: hmmsearch --domtblout output/bins/bin_79/hmmer.tree.txt --noali --notextw -E 0.1 --domE 0.1 --cpu 1 /tmp/bc649572-52c8-4cf9-be95-0dcff56874a7 output/bins/bin_79/genes.faa 
# Current dir:     /checkm_docker
# Date:            Mon Mar 21 12:28:31 2022
# [ok]
